species,number,location,date_feather_collected,date_oiled,study_type,treatment,length,pre_weight,post_weight,weight_change,perc_weight_change,time
manx_shearwater,142,great_blasket,07/07/2015,01/07/2021,percolation,1,3.8,0.0067,0.0069,0.0002,2.99,24.67
manx_shearwater,143,great_blasket,10/07/2015,01/07/2021,percolation,2,3.9,0.0071,0.0101,0.0030,42.25,92.01
manx_shearwater,144,great_blasket,03/07/2015,01/07/2021,percolation,3,4.6,0.0092,0.0444,0.0352,382.61,92.57
manx_shearwater,145,great_blasket,08/07/2015,01/07/2021,percolation,4,4.0,0.0079,0.0741,0.0662,837.97,187.48
manx_shearwater,146,great_blasket,12/07/2015,01/07/2021,percolation,0,4.2,0.0091,0.0091,0.0000,0.00,113.17
manx_shearwater,147,great_blasket,19/07/2014,01/07/2021,percolation,1,3.9,0.0068,0.0073,0.0005,7.35,45.10
manx_shearwater,148,great_blasket,16/07/2014,01/07/2021,percolation,2,4.0,0.0069,0.0113,0.0044,63.77,34.79
manx_shearwater,149,great_blasket,16/07/2014,01/07/2021,percolation,3,3.9,0.0059,0.0364,0.0305,516.95,251.87
manx_shearwater,150,high_island,01/08/2014,01/07/2021,percolation,4,4.0,0.0078,0.0817,0.0739,947.44,850.37
manx_shearwater,131,high_island,03/08/2014,29/06/2021,percolation_&_photo,0,4.1,0.0084,0.0084,0.0000,0.00,336.92
manx_shearwater,132,high_island,03/08/2014,29/06/2021,percolation_&_photo,1,4.0,0.0079,0.0081,0.0002,2.53,212.52
manx_shearwater,133,high_island,26/07/2014,29/06/2021,percolation_&_photo,2,3.8,0.0086,0.0151,0.0065,75.58,29.79
manx_shearwater,134,high_island,31/07/2014,29/06/2021,percolation_&_photo,3,4.0,0.0082,0.0483,0.0401,489.02,707.45
manx_shearwater,135,great_blasket,20/07/2014,29/06/2021,percolation_&_photo,4,3.9,0.0059,0.0473,0.0414,701.69,30.92
manx_shearwater,136,great_blasket,09/07/2015,29/06/2021,percolation_&_photo,0,4.0,0.0087,0.0087,0.0000,0.00,537.89
